Q=[
[ 236.000000,	54.000000,	5.000000,	33.000000,	42.000000,	]
[ 84.000000,	14.000000,	1.000000,	8.000000,	11.000000,	]
[ 83.000000,	15.000000,	1.000000,	11.000000,	11.000000,	]
[ 66.000000,	14.000000,	1.000000,	8.000000,	11.000000,	]
[ 97.000000,	14.000000,	4.000000,	12.000000,	29.000000,	]
[ 66.000000,	14.000000,	1.000000,	8.000000,	11.000000,	]
[ 84.000000,	18.000000,	1.000000,	11.000000,	11.000000,	]
[ 148.000000,	21.000000,	4.000000,	16.000000,	31.000000,	]
[ 105.000000,	19.000000,	4.000000,	11.000000,	23.000000,	]
[ 66.000000,	14.000000,	1.000000,	8.000000,	11.000000,	]
[ 66.000000,	14.000000,	1.000000,	8.000000,	11.000000,	]
[ 74.000000,	14.000000,	1.000000,	11.000000,	11.000000,	]
[ 117.000000,	22.000000,	5.000000,	16.000000,	19.000000,	]
[ 80.000000,	14.000000,	1.000000,	10.000000,	11.000000,	]
[ 97.000000,	17.000000,	5.000000,	8.000000,	11.000000,	]
[ 97.000000,	14.000000,	1.000000,	20.000000,	11.000000,	]
[ 117.000000,	23.000000,	3.000000,	17.000000,	18.000000,	]
[ 82.000000,	14.000000,	1.000000,	8.000000,	11.000000,	]
[ 94.000000,	17.000000,	5.000000,	15.000000,	11.000000,	]
[ 75.000000,	18.000000,	1.000000,	9.000000,	18.000000,	]
[ 86.000000,	14.000000,	1.000000,	14.000000,	11.000000,	]
[ 85.000000,	14.000000,	1.000000,	8.000000,	13.000000,	]
[ 120.000000,	23.000000,	1.000000,	8.000000,	38.000000,	]
[ 66.000000,	14.000000,	1.000000,	8.000000,	11.000000,	]
[ 73.000000,	14.000000,	1.000000,	8.000000,	11.000000,	]
[ 109.000000,	23.000000,	1.000000,	9.000000,	35.000000,	]
[ 66.000000,	14.000000,	1.000000,	8.000000,	11.000000,	]
[ 185.000000,	30.000000,	4.000000,	21.000000,	31.000000,	]
[ 80.000000,	14.000000,	1.000000,	12.000000,	11.000000,	]
[ 72.000000,	14.000000,	4.000000,	11.000000,	11.000000,	]
[ 66.000000,	14.000000,	1.000000,	8.000000,	11.000000,	]
[ 74.000000,	14.000000,	1.000000,	8.000000,	11.000000,	]
[ 80.000000,	18.000000,	4.000000,	15.000000,	14.000000,	]
[ 86.000000,	16.000000,	1.000000,	12.000000,	11.000000,	]
[ 89.000000,	14.000000,	5.000000,	16.000000,	11.000000,	]
[ 66.000000,	14.000000,	1.000000,	12.000000,	11.000000,	]
[ 66.000000,	14.000000,	1.000000,	8.000000,	11.000000,	]
[ 83.000000,	14.000000,	1.000000,	11.000000,	11.000000,	]
[ 72.000000,	21.000000,	1.000000,	8.000000,	17.000000,	]
[ 66.000000,	14.000000,	1.000000,	8.000000,	11.000000,	]
[ 141.000000,	28.000000,	4.000000,	13.000000,	23.000000,	]
[ 66.000000,	14.000000,	1.000000,	8.000000,	11.000000,	]
[ 66.000000,	14.000000,	1.000000,	8.000000,	11.000000,	]
[ 98.000000,	14.000000,	1.000000,	8.000000,	15.000000,	]
[ 66.000000,	14.000000,	1.000000,	8.000000,	11.000000,	]
[ 82.000000,	14.000000,	1.000000,	9.000000,	11.000000,	]
[ 136.000000,	44.000000,	5.000000,	12.000000,	33.000000,	]
[ 103.000000,	21.000000,	1.000000,	8.000000,	23.000000,	]
[ 79.000000,	14.000000,	1.000000,	8.000000,	11.000000,	]
[ 77.000000,	14.000000,	1.000000,	8.000000,	11.000000,	]
[ 66.000000,	14.000000,	1.000000,	8.000000,	11.000000,	]
[ 77.000000,	19.000000,	3.000000,	11.000000,	15.000000,	]
[ 79.000000,	14.000000,	1.000000,	12.000000,	11.000000,	]
[ 123.000000,	32.000000,	1.000000,	16.000000,	18.000000,	]
[ 89.000000,	14.000000,	1.000000,	8.000000,	11.000000,	]
[ 113.000000,	17.000000,	1.000000,	16.000000,	11.000000,	]
[ 80.000000,	14.000000,	1.000000,	11.000000,	13.000000,	]
[ 86.000000,	16.000000,	1.000000,	8.000000,	14.000000,	]
];








D=[
[ 0.000000,	728.150269,	1627.380249,	1801.045532,	1220.888794,	462.178101,	2169.624756,	2199.841064,	1537.522949,	2178.081787,	1729.165405,	1299.188232,	1091.440308,	2101.436035,	2221.579346,	1398.265747,	2270.442139,	739.531799,	1530.286133,	1475.097290,	1640.665894,	754.293457,	1296.030884,	1954.239624,	1539.248535,	1289.810303,	728.150269,	1283.844482,	2114.035645,	788.480286,	1828.685669,	1451.879272,	1343.793823,	539.918518,	1293.239746,	1424.512451,	2193.022705,	1831.169556,	659.471558,	1964.782104,	1936.723389,	1471.217896,	1123.035645,	1515.304810,	2104.268311,	2116.261719,	791.397766,	1247.952393,	1815.278809,	1293.239746,	1292.883545,	2216.600830,	1471.217896,	600.763245,	1244.913330,	2079.325928,	2180.226318,	1112.155273,	821.047363,	1637.276855,	1622.771362,	660.684082,	1429.646973,	1281.754761,	1424.178833,	1223.664551,	803.146484,	2090.710449,	2271.438477,	1688.373779,	1371.737183,	2222.191162,	1245.282959,	1969.354248,	1719.837280,	1289.810303,	1946.952026,	711.026672,	2143.681885,	1030.494629,	786.587036,	2282.890625,	659.471558,	1907.369385,	1041.169434,	2124.044434,	822.166748,	1213.513916,	455.235504,	1232.680054,	449.418274,	2201.812500,	1510.715820,	1294.832764,	1294.832764,	728.150269,	1300.882568,	1426.343750,	1236.034546,	1286.249634,	865.085571,	428.766052,	1438.760498,	716.609436,	1959.991089,	1112.937500,	1790.231445,	453.687073,	873.175964,	2228.526367,	2645.403564,	1941.377686,	1943.382446,	1437.902710,	1943.111572,	1943.070190,	827.874390,	1944.521973,	2097.086914,	1385.381226,	1797.994751,	749.967957,	814.941833,	608.532776,	1382.810059,	1112.605103,	1456.908569,	2089.999756,	1739.646851,	1438.424438,	1622.771362,	2096.617432,	1945.033569,	1112.695557,	2271.634033,	1119.080444,	1939.256958,	2271.462891,	1634.180298,	1004.956177,	1434.216431,	1388.047363,	2114.277344,	2054.956543,	1169.238892,	1849.697144,	1278.424194,	1017.128601,	1294.282715,	1822.407959,	]
[ 728.150269,	0.000000,	2049.903076,	2250.923584,	704.782959,	294.518921,	2571.170898,	2610.596436,	2119.501465,	2609.004150,	2299.028809,	1586.057007,	521.355957,	2546.966553,	2650.363037,	1941.698975,	2680.442871,	96.468300,	2110.094727,	1971.913696,	2048.091064,	59.527020,	1583.811401,	2426.395264,	2122.070312,	1568.807129,	0.000000,	1569.787109,	2555.820068,	1477.160645,	2362.916260,	1976.359009,	1857.055786,	239.932465,	1580.078735,	1752.597778,	2607.046875,	2365.174072,	937.396118,	2406.555664,	2412.432129,	1930.000366,	1506.755493,	1940.164185,	2546.187500,	2543.626221,	1431.204834,	1644.862793,	2230.909424,	1580.078735,	1577.909668,	2623.271484,	1930.000366,	596.249268,	1642.186768,	2547.141357,	2609.028320,	560.604980,	1455.645264,	2095.555176,	2027.337524,	935.252441,	1836.476074,	1572.897217,	1823.033203,	712.103210,	1365.987183,	2538.346924,	2681.961914,	2248.308838,	1822.294922,	2608.169922,	1640.974121,	2439.166992,	2150.371094,	1568.807129,	2425.305420,	190.480606,	2585.830078,	1412.339722,	1485.277344,	2684.156982,	937.396118,	2412.691650,	1685.968506,	2561.590088,	1459.081055,	701.224426,	310.676849,	1722.254395,	320.054932,	2598.048828,	2103.780762,	1580.142090,	1580.142090,	0.000000,	1590.202637,	1843.048950,	1720.505493,	1573.827515,	1541.982544,	335.681458,	1843.074951,	13.901451,	2411.738037,	561.604858,	2220.062012,	307.708923,	1328.844238,	2647.279541,	2008.514526,	2420.601562,	2420.836426,	1846.347412,	2422.025391,	2419.991943,	1437.997803,	2422.246338,	2538.061768,	1786.472656,	2245.641602,	29.683140,	1503.034302,	931.899780,	1937.273804,	510.509277,	1830.751831,	2536.365967,	2364.742188,	2049.743896,	2027.337524,	2542.514893,	2421.322998,	759.122620,	2681.514404,	561.552673,	2400.162354,	2681.671631,	2040.219727,	1338.568359,	1838.480103,	1755.218872,	2556.955078,	2520.265137,	1828.047729,	2385.655518,	1564.099609,	1481.972046,	1580.625854,	2279.097656,	]
[ 1627.380249,	2049.903076,	0.000000,	208.546082,	1925.038940,	1948.671265,	542.395996,	574.364868,	536.863159,	561.800659,	542.228638,	526.150146,	1971.056152,	497.075653,	604.269958,	412.176788,	645.248352,	1984.833862,	527.392578,	253.593918,	44.964214,	2027.895996,	526.725952,	392.238068,	540.467896,	547.496887,	2049.903076,	538.966431,	506.028137,	1107.288940,	462.511322,	339.326691,	361.482880,	2014.444580,	530.488647,	356.723297,	568.472595,	463.326538,	1113.168335,	356.746704,	383.120300,	175.852859,	543.317505,	112.805130,	496.365204,	497.200623,	963.282654,	405.180420,	188.118622,	530.488647,	534.104797,	590.281616,	175.852859,	1459.128906,	407.900543,	503.967682,	562.592834,	1949.718750,	934.265015,	113.060829,	54.457664,	1115.154175,	213.499084,	531.038574,	228.233719,	1918.580444,	848.418030,	488.587769,	646.397278,	486.068329,	257.990417,	595.630432,	409.015900,	402.020691,	100.803444,	547.496887,	397.899292,	1888.952759,	536.084473,	638.639465,	1151.793701,	656.010071,	1113.168335,	429.424744,	854.612610,	512.348450,	938.578979,	1916.999023,	1955.285156,	412.287567,	1955.698853,	574.432434,	579.014038,	532.178833,	532.178833,	2049.903076,	520.359253,	207.908279,	405.029053,	534.213501,	1033.373657,	1938.718628,	207.297867,	2047.524048,	364.182037,	1949.608154,	170.223236,	1949.457397,	758.731934,	606.056885,	3059.428223,	394.665558,	392.784027,	203.578354,	395.582245,	391.401245,	884.244568,	394.381592,	488.287720,	263.652618,	201.765732,	2050.170898,	1095.421143,	1125.217407,	450.297119,	2025.681885,	239.035141,	486.523254,	790.157166,	650.711365,	54.457664,	492.640411,	391.901672,	1667.186279,	646.415527,	1960.410278,	357.979095,	646.333618,	48.573315,	713.025513,	211.830490,	309.633179,	507.109558,	476.459351,	876.704773,	482.048859,	543.425293,	610.396240,	530.654663,	240.936356,	]
[ 1801.045532,	2250.923584,	208.546082,	0.000000,	2132.908203,	2140.175537,	387.160431,	407.507904,	516.264893,	377.364532,	446.583740,	733.001465,	2179.586182,	301.573975,	420.930237,	475.354218,	476.014709,	2187.709473,	510.433533,	341.710632,	227.196747,	2230.357910,	733.716370,	183.841660,	518.917725,	754.266907,	2250.923584,	746.214539,	313.347565,	1220.381104,	316.424500,	400.192596,	475.339661,	2207.625244,	737.516968,	560.884094,	398.758240,	316.255737,	1313.528442,	163.800720,	175.818771,	330.796448,	744.946472,	311.921600,	303.555084,	317.212250,	1094.436890,	607.320740,	112.874268,	737.516968,	741.059998,	426.537964,	330.796448,	1662.693970,	609.884155,	297.221313,	379.876282,	2158.259521,	1063.764038,	163.785095,	247.844955,	1315.675781,	418.570404,	738.550171,	435.057587,	2126.385986,	1006.207275,	291.517212,	476.681488,	405.084564,	434.995239,	452.706696,	611.350769,	193.487793,	111.486702,	754.266907,	190.893585,	2092.615967,	343.219757,	838.622925,	1261.486572,	493.846558,	1313.528442,	241.899551,	944.959290,	323.001190,	1067.020874,	2124.900635,	2145.992920,	568.863342,	2145.984131,	422.364807,	565.101990,	739.088928,	739.088928,	2250.923584,	727.277771,	409.057587,	565.070068,	741.467651,	1139.850586,	2128.498779,	413.390442,	2248.168701,	161.674881,	2158.148193,	69.625809,	2140.367188,	943.794678,	430.740906,	3246.219238,	188.195435,	185.680588,	408.449585,	188.923492,	184.165207,	1022.561462,	187.304565,	296.208038,	468.765503,	8.602910,	2251.976074,	1205.005859,	1322.411377,	509.143311,	2234.192871,	446.937988,	290.325226,	706.251587,	655.527954,	247.844955,	296.836761,	184.427979,	1875.006958,	477.239807,	2168.950195,	150.263550,	476.884399,	235.438751,	917.487122,	417.778412,	518.174744,	313.758453,	269.964752,	934.788330,	330.052429,	750.800293,	791.092102,	737.629517,	34.127544,	]
[ 1220.888794,	704.782959,	1925.038940,	2132.908203,	0.000000,	941.791321,	2370.385498,	2416.501953,	2176.712891,	2437.079346,	2322.649170,	1400.433228,	187.983170,	2396.403809,	2472.818115,	1969.363647,	2480.084717,	617.946411,	2165.329834,	1940.102539,	1907.270874,	645.353760,	1399.577393,	2316.710205,	2180.167725,	1379.308838,	704.782959,	1386.873901,	2400.315430,	1771.116211,	2334.161377,	1976.606201,	1860.015625,	919.054260,	1395.746582,	1574.794922,	2416.773438,	2335.929688,	983.160339,	2264.119141,	2308.141357,	1860.801880,	1435.605713,	1832.534546,	2391.634521,	2373.125488,	1657.873901,	1557.245605,	2077.372803,	1395.746582,	1392.280884,	2423.766846,	1860.801880,	694.397034,	1555.473877,	2422.009521,	2434.758301,	145.529907,	1671.261475,	2004.370850,	1886.164673,	979.339600,	1725.207886,	1394.390015,	1705.552124,	9.679525,	1514.240112,	2390.876953,	2482.052246,	2263.375732,	1760.036499,	2387.892822,	1552.874878,	2325.620605,	2022.027954,	1379.308838,	2322.938232,	571.302368,	2428.274902,	1363.102051,	1797.399902,	2474.140381,	983.160339,	2343.597656,	1882.056641,	2400.871094,	1677.188354,	8.862836,	961.383545,	1719.194458,	970.898376,	2389.415771,	2177.822021,	1394.295166,	1394.295166,	704.782959,	1406.075806,	1741.178833,	1712.083740,	1391.612549,	1807.141357,	978.048462,	1728.117188,	716.939636,	2280.023682,	144.532639,	2083.141357,	955.476624,	1375.893921,	2458.968750,	1435.536743,	2319.677246,	2317.820801,	1735.223145,	2320.609375,	2316.430664,	1625.733398,	2319.419189,	2383.131348,	1677.356812,	2125.685303,	676.855530,	1792.671509,	1020.555664,	1979.186035,	220.494354,	1686.075073,	2387.629883,	2463.310547,	2155.152100,	1886.164673,	2392.736816,	2316.903809,	257.931885,	2480.944580,	146.725891,	2279.920654,	2481.444336,	1898.937500,	1263.162964,	1724.195923,	1616.456787,	2402.358154,	2394.476562,	2029.688843,	2357.073975,	1382.207886,	1499.497559,	1395.685791,	2165.831299,	]
[ 462.178101,	294.518921,	1948.671265,	2140.175537,	941.791321,	0.000000,	2485.074219,	2520.786865,	1946.152466,	2510.194336,	2132.978760,	1532.412109,	772.599915,	2441.061035,	2552.860596,	1785.002197,	2591.572998,	343.842346,	1937.734131,	1836.835815,	1953.374512,	338.531097,	1529.728638,	2307.372070,	1948.327271,	1517.894531,	294.518921,	1516.055908,	2451.677246,	1242.514893,	2214.537354,	1828.799194,	1713.031250,	78.350052,	1526.276123,	1686.116577,	2515.755615,	2216.920166,	853.334229,	2301.039307,	2291.665527,	1811.197998,	1410.893311,	1836.278687,	2441.899902,	2445.831543,	1222.264893,	1547.150269,	2135.040039,	1526.276123,	1524.788452,	2535.383789,	1811.197998,	581.991943,	1544.258301,	2431.135498,	2511.167969,	805.927429,	1249.585449,	1979.246826,	1933.549316,	852.335510,	1738.563354,	1517.122681,	1728.265869,	947.576965,	1190.822510,	2431.417725,	2592.872803,	2086.717529,	1705.341797,	2529.258057,	1543.680542,	2321.323730,	2046.982788,	1517.894531,	2303.447266,	370.489777,	2481.781738,	1314.255737,	1244.338989,	2599.190918,	853.334229,	2278.297607,	1477.284180,	2459.401367,	1251.938843,	936.557922,	19.666780,	1586.564087,	29.109634,	2514.538818,	1924.825684,	1526.968628,	1526.968628,	294.518921,	1535.668701,	1741.035278,	1587.010376,	1519.542236,	1314.688843,	41.182442,	1746.355347,	281.029205,	2301.804443,	806.883301,	2117.833252,	13.952833,	1197.492554,	2554.233643,	2296.095703,	2298.303955,	2299.349121,	1747.925049,	2299.882080,	2298.739990,	1243.258911,	2300.648193,	2434.126953,	1690.051636,	2135.827393,	321.950104,	1268.896484,	829.035950,	1775.389038,	774.360901,	1746.725586,	2429.991699,	2170.779785,	1861.190186,	1933.549316,	2436.405518,	2300.371338,	930.529724,	2592.707031,	809.410522,	2285.995117,	2592.719727,	1945.986572,	1257.445679,	1741.697998,	1672.468140,	2452.420410,	2405.177246,	1612.803589,	2236.630371,	1510.312378,	1351.575317,	1527.042114,	2165.614258,	]
[ 2169.624756,	2571.170898,	542.395996,	387.160431,	2370.385498,	2485.074219,	0.000000,	48.994251,	867.021484,	112.371353,	740.963196,	995.324829,	2441.556152,	170.380157,	122.064346,	860.116150,	110.636543,	2501.017334,	863.891418,	728.508850,	532.577881,	2545.215576,	997.089844,	317.742310,	868.858887,	1014.636475,	2571.170898,	1010.986389,	154.099609,	1607.405273,	574.417114,	786.007446,	861.436157,	2549.064209,	1000.959778,	822.364380,	55.117809,	572.655457,	1640.395752,	236.553009,	337.448273,	703.011658,	1074.319702,	654.879089,	156.889603,	103.643219,	1480.673950,	937.995911,	354.359406,	1000.959778,	1003.693726,	53.485107,	703.011658,	1975.739136,	940.903015,	256.487671,	104.770416,	2415.343994,	1450.166260,	544.830627,	551.952332,	1642.045410,	747.285339,	1006.205200,	756.873413,	2362.904053,	1384.392212,	180.652863,	112.429024,	722.199463,	798.376648,	72.796371,	941.430298,	302.936340,	450.979401,	1014.636475,	339.850739,	2402.851562,	152.233551,	1170.914795,	1648.252686,	114.155273,	1640.395752,	443.830414,	1329.907349,	136.814194,	1453.548950,	2363.004883,	2492.374756,	945.288025,	2493.134033,	35.627499,	916.483948,	1001.487244,	1001.487244,	2571.170898,	990.488464,	746.832397,	939.861877,	1006.576782,	1526.478394,	2476.570068,	739.177734,	2569.733154,	260.927063,	2415.100586,	381.848633,	2486.384033,	1300.662964,	93.776169,	3348.974365,	345.289062,	338.990387,	738.166565,	343.477844,	337.580536,	1407.407959,	339.204803,	155.721405,	795.228088,	387.467682,	2569.338867,	1591.820679,	1657.593384,	892.493591,	2497.235107,	741.331116,	176.440338,	980.727661,	1013.111145,	551.952332,	172.920822,	334.692108,	2114.831543,	111.604347,	2425.751709,	296.553650,	111.950691,	539.724548,	1234.533691,	743.831848,	816.680359,	157.282333,	253.065277,	1310.736328,	572.778198,	1016.444641,	1152.778809,	1000.633667,	377.493469,	]
[ 2199.841064,	2610.596436,	574.364868,	407.507904,	2416.501953,	2520.786865,	48.994251,	0.000000,	870.349854,	77.249931,	735.497131,	1038.007202,	2486.273438,	154.503647,	75.372643,	875.303711,	70.898819,	2541.240967,	867.883240,	748.991455,	567.412598,	2585.282471,	1039.702637,	315.676025,	871.982849,	1057.530151,	2610.596436,	1053.548584,	136.775894,	1624.745483,	567.812256,	802.383606,	882.829590,	2585.405273,	1043.582153,	864.277405,	13.337559,	565.899048,	1678.237061,	249.010559,	336.105682,	730.239868,	1110.741699,	687.157532,	142.346146,	98.051460,	1501.786865,	973.759155,	386.502411,	1043.582153,	1046.385010,	21.339003,	730.239868,	2015.635376,	976.632507,	236.742188,	69.078529,	2460.364258,	1471.037720,	568.621948,	587.294556,	1679.955078,	782.243530,	1048.535278,	792.738403,	2409.065674,	1410.843018,	166.393204,	72.114380,	720.725708,	828.109802,	92.394798,	977.286743,	299.878571,	480.006958,	1057.530151,	336.294678,	2443.367920,	125.824059,	1207.203735,	1664.822144,	86.772057,	1678.237061,	436.509125,	1344.288330,	118.902367,	1474.213623,	2409.085205,	2527.823975,	971.955994,	2528.442871,	54.225658,	919.558899,	1044.187378,	1044.187378,	2610.596436,	1033.088013,	780.596069,	967.067688,	1049.097900,	1542.832275,	2511.699707,	774.435486,	2608.991211,	267.976624,	2460.128662,	409.690918,	2521.896729,	1333.069946,	44.784817,	3397.879883,	342.083221,	336.196045,	772.930298,	340.178436,	335.023041,	1430.034424,	336.173279,	143.860413,	830.796265,	408.772308,	2609.119141,	1608.539551,	1694.279419,	906.557495,	2541.909912,	779.936157,	163.070038,	969.154541,	1017.112000,	587.294556,	158.113266,	332.137451,	2160.679688,	72.059090,	2470.794922,	301.316467,	72.005142,	574.812439,	1272.925293,	779.092773,	855.437500,	139.385284,	238.467224,	1319.757812,	564.214905,	1058.962402,	1183.891724,	1043.286743,	394.112732,	]
