[ 1729.165405,	2299.028809,	542.228638,	446.583740,	2322.649170,	2132.978760,	740.963196,	735.497131,	193.464188,	669.484802,	0.000000,	990.857666,	2333.271973,	582.049011,	704.280151,	360.980255,	784.349426,	2252.261230,	199.545227,	394.031830,	585.026794,	2290.376465,	990.115295,	423.394958,	192.321732,	1011.173706,	2299.028809,	998.766602,	599.907837,	1013.555786,	167.917725,	346.131622,	463.286041,	2207.420898,	993.202087,	852.821411,	722.689270,	169.938553,	1393.081909,	519.894592,	404.121918,	497.506836,	889.416016,	569.666504,	593.481750,	639.968079,	945.132812,	779.853088,	558.004395,	993.202087,	]
[ 1299.188232,	1586.057007,	526.150146,	733.001465,	1400.433228,	1532.412109,	995.324829,	1038.007202,	898.181152,	1048.163330,	990.857666,	0.000000,	1454.243530,	1000.193420,	1086.636963,	691.967285,	1105.862427,	1511.679810,	886.221741,	598.438477,	506.857635,	1556.571533,	3.376607,	916.637512,	902.159790,	21.395876,	1586.057007,	16.394600,	1005.437744,	1048.651611,	961.744812,	663.924255,	575.220459,	1589.183105,	6.140895,	175.696335,	1036.196899,	963.132690,	680.271729,	865.269653,	908.617859,	494.561676,	240.378586,	442.418549,	996.416199,	982.983398,	871.528931,	240.738037,	679.051208,	6.140895,	]
[ 1091.440308,	521.355957,	1971.056152,	2179.586182,	187.983170,	772.599915,	2441.556152,	2486.273438,	2176.718506,	2501.119629,	2333.271973,	1454.243530,	0.000000,	2454.402832,	2538.644775,	1974.664673,	2552.026611,	438.490509,	2165.732422,	1961.062256,	1957.396240,	462.336395,	1452.973999,	2363.041504,	2179.975830,	1433.737427,	521.355957,	1439.605469,	2459.667725,	1702.547119,	2358.954834,	1989.404541,	1870.381348,	743.271240,	1449.084229,	1629.939697,	2485.530518,	2360.872314,	955.854004,	2318.726807,	2352.943359,	1890.767456,	1458.051514,	1872.559326,	2450.657227,	2436.244385,	1604.895020,	1586.982300,	2133.022217,	1449.084229,	]
[ 2101.436035,	2546.966553,	497.075653,	301.573975,	2396.403809,	2441.061035,	170.380157,	154.503647,	723.047852,	89.377457,	582.049011,	1000.193420,	2454.402832,	0.000000,	129.730286,	745.549255,	204.115662,	2481.737061,	721.298523,	632.209229,	501.684784,	2524.884766,	1001.437866,	168.198914,	724.463684,	1020.791016,	2546.966553,	1014.798157,	17.861179,	1495.820557,	414.172241,	675.691833,	766.531677,	2508.085938,	1005.326538,	824.512329,	141.391769,	412.203766,	1610.069946,	140.510040,	188.881592,	632.318787,	1040.280029,	607.333862,	13.713980,	68.461349,	1381.080322,	902.144775,	321.711731,	1005.326538,	]
[ 2221.579346,	2650.363037,	604.269958,	420.930237,	2472.818115,	2552.860596,	122.064346,	75.372643,	851.160095,	43.575146,	704.280151,	1086.636963,	2538.644775,	129.730286,	0.000000,	874.498840,	82.662682,	2582.794434,	849.708191,	757.685852,	602.520996,	2626.466797,	1088.169678,	297.632721,	852.475891,	1106.605591,	2650.363037,	1101.870239,	113.439598,	1624.930664,	536.632385,	803.975281,	892.122620,	2618.710693,	1092.062500,	911.640564,	66.952774,	534.522888,	1715.362671,	257.176239,	318.273285,	750.446106,	1146.017456,	716.583130,	122.482773,	107.095459,	1508.472046,	1008.173889,	419.651825,	1092.062500,	]
[ 1398.265747,	1941.698975,	412.176788,	475.354218,	1969.363647,	1785.002197,	860.116150,	875.303711,	212.378799,	831.990112,	360.980255,	691.967285,	1974.664673,	745.549255,	874.498840,	0.000000,	940.370239,	1893.093628,	200.450653,	158.624557,	453.834839,	1931.701782,	690.444153,	582.034485,	216.180069,	710.082397,	1941.698975,	696.194580,	761.168762,	750.481873,	431.188995,	76.514801,	117.945503,	1858.154419,	692.863159,	592.031433,	865.152100,	433.638153,	1032.114990,	626.318115,	562.318359,	262.020294,	546.970093,	362.438110,	752.021851,	779.639832,	640.538940,	458.112793,	545.996094,	692.863159,	]
[ 2270.442139,	2680.442871,	645.248352,	476.014709,	2480.084717,	2591.572998,	110.636543,	70.898819,	926.959106,	115.117897,	784.349426,	1105.862427,	2552.026611,	204.115662,	82.662682,	940.370239,	0.000000,	2610.725342,	925.054443,	816.900635,	638.212158,	2654.843994,	1107.614014,	371.509491,	928.414734,	1125.210815,	2680.442871,	1121.500854,	186.540512,	1690.514160,	616.482117,	868.217712,	951.001709,	2656.105957,	1111.486084,	932.696411,	77.590202,	614.427734,	1748.596313,	315.256714,	392.189941,	800.427795,	1181.387085,	758.044312,	194.270706,	160.788528,	1569.533081,	1044.496826,	457.401184,	1111.486084,	]
[ 739.531799,	96.468300,	1984.833862,	2187.709473,	617.946411,	343.842346,	2501.017334,	2541.240967,	2075.844971,	2541.844971,	2252.261230,	1511.679810,	438.490509,	2481.737061,	2582.794434,	1893.093628,	2610.725342,	0.000000,	2066.125244,	1916.464111,	1981.382812,	46.067993,	1509.538818,	2364.934814,	2078.543213,	1493.928833,	96.468300,	1495.506226,	2490.119385,	1462.120483,	2310.210449,	1924.694214,	1804.796021,	305.791901,	1505.763916,	1680.303711,	2538.053711,	2312.423096,	876.116333,	2341.557861,	2351.486328,	1870.050171,	1442.769531,	1876.169312,	2480.545166,	2476.355225,	1404.807739,	1580.573242,	2163.934082,	1505.763916,	]
[ 1530.286133,	2110.094727,	527.392578,	510.433533,	2165.329834,	1937.734131,	863.891418,	867.883240,	12.014615,	810.675903,	199.545227,	886.221741,	2165.732422,	721.298523,	849.708191,	200.450653,	925.054443,	2066.125244,	0.000000,	304.313751,	572.302124,	2103.333496,	884.891724,	553.560974,	15.954262,	904.998657,	2110.094727,	891.404907,	738.666565,	817.922302,	331.521118,	224.592712,	317.535217,	2012.682983,	887.495667,	773.171326,	856.004761,	334.038513,	1216.791382,	629.101746,	532.893005,	420.576324,	747.346619,	513.614258,	730.786316,	769.862305,	745.596985,	656.289734,	608.027222,	887.495667,	]
[ 1475.097290,	1971.913696,	253.593918,	341.710632,	1940.102539,	1836.835815,	728.508850,	748.991455,	315.557465,	714.271118,	394.031830,	598.438477,	1961.062256,	632.209229,	757.685852,	158.624557,	816.900635,	1916.464111,	304.313751,	0.000000,	295.265045,	1957.061646,	597.547119,	479.346649,	319.516327,	618.442688,	1971.913696,	605.744934,	646.251953,	880.717529,	398.594727,	88.426773,	134.437119,	1907.358643,	600.527710,	471.689667,	739.958435,	400.604218,	1042.585449,	502.117035,	461.645752,	116.272736,	504.749023,	212.068451,	636.666748,	656.921143,	752.796692,	387.360962,	397.103760,	600.527710,	]
[ 1640.665894,	2048.091064,	44.964214,	227.196747,	1907.270874,	1953.374512,	532.577881,	567.412598,	581.798279,	560.934753,	585.026794,	506.857635,	1957.396240,	501.684784,	602.520996,	453.834839,	638.212158,	1981.382812,	572.302124,	295.265045,	0.000000,	2024.815430,	507.694092,	410.139130,	585.407837,	528.028870,	2048.091064,	520.433899,	509.224213,	1138.113892,	499.762238,	381.968231,	397.371582,	2018.127319,	511.524414,	333.805450,	562.478027,	500.448761,	1112.865723,	362.888519,	402.979858,	208.859406,	543.881104,	128.598572,	499.745300,	495.620178,	990.735840,	406.472778,	182.874710,	511.524414,	]
[ 754.293457,	59.527020,	2027.895996,	2230.357910,	645.353760,	338.531097,	2545.215576,	2585.282471,	2112.955811,	2585.426270,	2290.376465,	1556.571533,	462.336395,	2524.884766,	2626.466797,	1931.701782,	2654.843994,	46.067993,	2103.333496,	1957.061646,	2024.815430,	0.000000,	1554.412476,	2407.173828,	2115.613525,	1538.902588,	59.527020,	1540.379639,	2533.374512,	1488.792969,	2350.097412,	1964.217407,	1844.467407,	291.220490,	1550.644287,	1724.844116,	2582.021240,	2352.322998,	917.930542,	2384.640625,	2393.595459,	1911.843384,	1485.486084,	1918.965576,	2523.786377,	2519.955811,	1435.768799,	1623.391235,	2207.444336,	1550.644287,	]
[ 1296.030884,	1583.811401,	526.725952,	733.716370,	1399.577393,	1529.728638,	997.089844,	1039.702637,	896.855164,	1049.637573,	990.115295,	3.376607,	1452.973999,	1001.437866,	1088.169678,	690.444153,	1107.614014,	1509.538818,	884.891724,	597.547119,	507.694092,	1554.412476,	0.000000,	917.386108,	900.832214,	21.328278,	1583.811401,	14.032827,	1006.735962,	1045.425415,	961.575256,	662.727783,	573.618591,	1586.574097,	3.895285,	177.001007,	1037.854614,	962.970703,	677.500732,	866.380249,	909.296936,	493.989960,	237.179413,	442.468475,	997.702454,	984.436768,	868.286133,	238.670197,	680.224304,	3.895285,	]
[ 1954.239624,	2426.395264,	392.238068,	183.841660,	2316.710205,	2307.372070,	317.742310,	315.676025,	555.574402,	257.460815,	423.394958,	916.637512,	2363.041504,	168.198914,	297.632721,	582.034485,	371.509491,	2364.934814,	553.560974,	479.346649,	410.139130,	2407.173828,	917.386108,	0.000000,	557.085205,	937.876038,	2426.395264,	929.940125,	185.321335,	1331.071045,	257.865723,	514.554749,	612.204956,	2376.178711,	921.194702,	743.915344,	303.406281,	256.245361,	1489.411133,	111.044800,	20.694078,	497.410522,	923.199280,	492.631927,	177.266998,	218.300797,	1220.729004,	786.481567,	258.703156,	921.194702,	]
[ 1539.248535,	2122.070312,	540.467896,	518.917725,	2180.167725,	1948.327271,	868.858887,	871.982849,	4.002488,	813.818604,	192.321732,	902.159790,	2179.975830,	724.463684,	852.475891,	216.180069,	928.414734,	2078.543213,	15.954262,	319.516327,	585.407837,	2115.613525,	900.832214,	557.085205,	0.000000,	920.943970,	2122.070312,	907.353149,	741.917236,	822.550171,	330.323608,	240.333542,	333.383484,	2023.417358,	903.438232,	788.784302,	859.997070,	332.816986,	1230.489136,	634.708252,	536.455444,	435.747864,	762.995789,	528.329834,	734.162903,	774.025757,	753.304077,	672.225525,	617.809204,	903.438232,	]
[ 1289.810303,	1568.807129,	547.496887,	754.266907,	1379.308838,	1517.894531,	1014.636475,	1057.530151,	916.970520,	1068.276978,	1011.173706,	21.395876,	1433.737427,	1020.791016,	1106.605591,	710.082397,	1125.210815,	1493.928833,	904.998657,	618.442688,	528.028870,	1538.902588,	21.328278,	937.876038,	920.943970,	0.000000,	1568.807129,	14.637496,	1025.933594,	1053.107056,	982.902344,	683.128052,	593.049255,	1574.111206,	17.998684,	196.300583,	1055.830078,	984.297241,	666.588074,	886.094727,	929.905762,	515.199829,	246.022675,	463.735321,	1016.935547,	1003.148438,	875.668213,	256.618378,	699.783936,	17.998684,	]
[ 728.150269,	0.000000,	2049.903076,	2250.923584,	704.782959,	294.518921,	2571.170898,	2610.596436,	2119.501465,	2609.004150,	2299.028809,	1586.057007,	521.355957,	2546.966553,	2650.363037,	1941.698975,	2680.442871,	96.468300,	2110.094727,	1971.913696,	2048.091064,	59.527020,	1583.811401,	2426.395264,	2122.070312,	1568.807129,	0.000000,	1569.787109,	2555.820068,	1477.160645,	2362.916260,	1976.359009,	1857.055786,	239.932465,	1580.078735,	1752.597778,	2607.046875,	2365.174072,	937.396118,	2406.555664,	2412.432129,	1930.000366,	1506.755493,	1940.164185,	2546.187500,	2543.626221,	1431.204834,	1644.862793,	2230.909424,	1580.078735,	]
[ 1283.844482,	1569.787109,	538.966431,	746.214539,	1386.873901,	1516.055908,	1010.986389,	1053.548584,	903.382690,	1063.277710,	998.766602,	16.394600,	1439.605469,	1014.798157,	1101.870239,	696.194580,	1121.500854,	1495.506226,	891.404907,	605.744934,	520.433899,	1540.379639,	14.032827,	929.940125,	907.353149,	14.637496,	1569.787109,	0.000000,	1020.167480,	1040.144897,	971.979126,	669.798767,	579.061951,	1572.797363,	10.310143,	190.503540,	1051.670288,	973.395569,	663.983765,	879.551697,	921.717285,	503.270996,	232.552948,	453.522919,	1011.118469,	998.054810,	862.800903,	242.192261,	693.493286,	10.310143,	]
[ 2114.035645,	2555.820068,	506.028137,	313.347565,	2400.315430,	2451.677246,	154.099609,	136.775894,	740.481628,	72.155472,	599.907837,	1005.437744,	2459.667725,	17.861179,	113.439598,	761.168762,	186.540512,	2490.119385,	738.666565,	646.251953,	509.224213,	2533.374512,	1006.735962,	185.321335,	741.917236,	1025.933594,	2555.820068,	1020.167480,	0.000000,	1511.559937,	432.032745,	690.923279,	780.645081,	2518.447998,	1010.627930,	829.744324,	123.629662,	430.064728,	1619.196289,	150.654968,	206.015030,	644.117310,	1049.345337,	616.903259,	9.798954,	54.363895,	1395.938232,	911.208496,	328.080750,	1010.627930,	]
[ 788.480286,	1477.160645,	1107.288940,	1220.381104,	1771.116211,	1242.514893,	1607.405273,	1624.745483,	821.962524,	1582.468262,	1013.555786,	1048.651611,	1702.547119,	1495.820557,	1624.930664,	750.481873,	1690.514160,	1462.120483,	817.922302,	880.717529,	1138.113892,	1488.792969,	1045.425415,	1331.071045,	822.550171,	1053.107056,	1477.160645,	1040.144897,	1511.559937,	0.000000,	1145.342529,	822.387573,	751.499512,	1320.856323,	1044.900024,	1078.187378,	1614.870117,	1147.896118,	821.921936,	1375.803101,	1311.029419,	931.436035,	808.364380,	1013.673035,	1502.448120,	1529.729248,	177.868118,	861.680542,	1275.136597,	1044.900024,	]
[ 1828.685669,	2362.916260,	462.511322,	316.424500,	2334.161377,	2214.537354,	574.417114,	567.812256,	329.937622,	501.581024,	167.917725,	961.744812,	2358.954834,	414.172241,	536.632385,	431.188995,	616.482117,	2310.210449,	331.521118,	398.594727,	499.762238,	2350.097412,	961.575256,	257.865723,	330.323608,	982.902344,	2362.916260,	971.979126,	432.032745,	1145.342529,	0.000000,	386.993134,	505.860687,	2287.080322,	965.021790,	806.180847,	554.956665,	2.555755,	1438.912231,	359.529083,	239.394104,	474.557159,	901.249023,	520.932434,	425.680573,	472.752869,	1059.132080,	776.979248,	428.849304,	965.021790,	]
[ 1451.879272,	1976.359009,	339.326691,	400.192596,	1976.606201,	1828.799194,	786.007446,	802.383606,	236.331100,	761.148315,	346.131622,	663.924255,	1989.404541,	675.691833,	803.975281,	76.514801,	868.217712,	1924.694214,	224.592712,	88.426773,	381.968231,	1964.217407,	662.727783,	514.554749,	240.333542,	683.128052,	1976.359009,	669.798767,	690.923279,	822.387573,	386.993134,	0.000000,	120.368820,	1900.908691,	665.455994,	548.829163,	792.482605,	389.302612,	1056.506958,	553.418213,	495.312469,	201.374817,	543.682739,	299.599701,	681.636475,	707.430725,	706.202759,	439.686951,	469.481323,	665.455994,	]
[ 1343.793823,	1857.055786,	361.482880,	475.339661,	1860.015625,	1713.031250,	861.436157,	882.829590,	329.523743,	848.705078,	463.286041,	575.220459,	1870.381348,	766.531677,	892.122620,	117.945503,	951.001709,	1804.796021,	317.535217,	134.437119,	397.371582,	1844.467407,	573.618591,	612.204956,	333.383484,	593.049255,	1857.055786,	579.061951,	780.645081,	751.499512,	505.860687,	120.368820,	0.000000,	1784.567627,	575.959351,	483.288269,	873.942444,	508.120758,	936.138367,	636.425903,	594.078308,	189.262100,	431.552917,	285.560822,	771.069397,	791.194641,	619.258057,	340.230469,	523.640259,	575.959351,	]
[ 539.918518,	239.932465,	2014.444580,	2207.625244,	919.054260,	78.350052,	2549.064209,	2585.405273,	2021.203125,	2576.208252,	2207.420898,	1589.183105,	743.271240,	2508.085938,	2618.710693,	1858.154419,	2656.105957,	305.791901,	2012.682983,	1907.358643,	2018.127319,	291.220490,	1586.574097,	2376.178711,	2023.417358,	1574.111206,	239.932465,	1572.797363,	2518.447998,	1320.856323,	2287.080322,	1900.908691,	1784.567627,	0.000000,	1583.059448,	1745.613892,	2580.604248,	2289.449951,	912.640442,	2367.875977,	2360.702393,	1879.424438,	1474.784790,	1902.302368,	2508.683838,	2511.631104,	1299.658813,	1611.671387,	2200.212646,	1583.059448,	]
[ 1293.239746,	1580.078735,	530.488647,	737.516968,	1395.746582,	1526.276123,	1000.959778,	1043.582153,	899.462646,	1053.532349,	993.202087,	6.140895,	1449.084229,	1005.326538,	1092.062500,	692.863159,	1111.486084,	1505.763916,	887.495667,	600.527710,	511.524414,	1550.644287,	3.895285,	921.194702,	903.438232,	17.998684,	1580.078735,	10.310143,	1010.627930,	1044.900024,	965.021790,	665.455994,	575.959351,	1583.059448,	0.000000,	180.894394,	1041.738281,	966.421326,	674.130859,	870.256104,	913.087524,	497.201172,	236.786423,	446.030365,	1001.593811,	988.331909,	867.696472,	240.494324,	684.107239,	0.000000,	]
[ 1424.512451,	1752.597778,	356.723297,	560.884094,	1574.794922,	1686.116577,	822.364380,	864.277405,	784.787109,	872.877808,	852.821411,	175.696335,	1629.939697,	824.512329,	911.640564,	592.031433,	932.696411,	1680.303711,	773.171326,	471.689667,	333.805450,	1724.844116,	177.001007,	743.915344,	788.784302,	196.300583,	1752.597778,	190.503540,	829.744324,	1078.187378,	806.180847,	548.829163,	483.288269,	1745.613892,	180.894394,	0.000000,	862.115356,	807.362854,	833.075745,	689.899841,	736.702637,	358.189362,	306.688080,	286.415680,	820.720093,	807.616089,	906.821533,	216.537140,	503.502625,	180.894394,	]
[ 2193.022705,	2607.046875,	568.472595,	398.758240,	2416.773438,	2515.755615,	55.117809,	13.337559,	858.389160,	64.366226,	722.689270,	1036.196899,	2485.530518,	141.391769,	66.952774,	865.152100,	77.590202,	2538.053711,	856.004761,	739.958435,	562.478027,	2582.021240,	1037.854614,	303.406281,	859.997070,	1055.830078,	2607.046875,	1051.670288,	123.629662,	1614.870117,	554.956665,	792.482605,	873.942444,	2580.604248,	1041.738281,	862.115356,	0.000000,	553.032715,	1674.085449,	239.079880,	323.887787,	722.855347,	1106.127075,	681.276611,	129.359436,	86.526848,	1492.708008,	968.937622,	380.925476,	1041.738281,	]
