Q=[
[ 44.000000,	36.000000,	13.000000,	4.000000,	3.000000,	]
[ 67.000000,	59.000000,	13.000000,	4.000000,	3.000000,	]
[ 48.000000,	73.000000,	29.000000,	4.000000,	10.000000,	]
[ 44.000000,	36.000000,	13.000000,	4.000000,	3.000000,	]
[ 44.000000,	36.000000,	13.000000,	4.000000,	3.000000,	]
[ 53.000000,	48.000000,	17.000000,	7.000000,	6.000000,	]
[ 65.000000,	77.000000,	37.000000,	9.000000,	15.000000,	]
[ 87.000000,	67.000000,	37.000000,	15.000000,	11.000000,	]
[ 75.000000,	71.000000,	19.000000,	9.000000,	6.000000,	]
[ 50.000000,	51.000000,	13.000000,	11.000000,	3.000000,	]
[ 47.000000,	42.000000,	13.000000,	7.000000,	3.000000,	]
[ 44.000000,	36.000000,	13.000000,	4.000000,	3.000000,	]
[ 50.000000,	39.000000,	15.000000,	4.000000,	4.000000,	]
[ 92.000000,	41.000000,	21.000000,	11.000000,	4.000000,	]
[ 47.000000,	37.000000,	13.000000,	5.000000,	3.000000,	]
[ 44.000000,	43.000000,	17.000000,	4.000000,	3.000000,	]
[ 47.000000,	56.000000,	13.000000,	11.000000,	6.000000,	]
[ 44.000000,	54.000000,	13.000000,	11.000000,	3.000000,	]
[ 51.000000,	49.000000,	13.000000,	4.000000,	3.000000,	]
[ 82.000000,	78.000000,	28.000000,	7.000000,	12.000000,	]
[ 59.000000,	56.000000,	13.000000,	8.000000,	6.000000,	]
[ 78.000000,	49.000000,	16.000000,	19.000000,	3.000000,	]
[ 132.000000,	88.000000,	51.000000,	18.000000,	11.000000,	]
[ 71.000000,	71.000000,	31.000000,	7.000000,	13.000000,	]
[ 97.000000,	72.000000,	26.000000,	10.000000,	5.000000,	]
[ 57.000000,	46.000000,	13.000000,	11.000000,	3.000000,	]
[ 87.000000,	69.000000,	29.000000,	11.000000,	11.000000,	]
[ 62.000000,	58.000000,	22.000000,	9.000000,	10.000000,	]
[ 49.000000,	46.000000,	13.000000,	4.000000,	3.000000,	]
[ 46.000000,	47.000000,	13.000000,	7.000000,	3.000000,	]
[ 59.000000,	51.000000,	13.000000,	12.000000,	3.000000,	]
[ 55.000000,	66.000000,	21.000000,	4.000000,	9.000000,	]
[ 65.000000,	41.000000,	16.000000,	7.000000,	3.000000,	]
[ 82.000000,	62.000000,	25.000000,	16.000000,	9.000000,	]
[ 51.000000,	44.000000,	13.000000,	12.000000,	3.000000,	]
[ 74.000000,	51.000000,	19.000000,	10.000000,	4.000000,	]
[ 67.000000,	46.000000,	20.000000,	7.000000,	7.000000,	]
[ 47.000000,	36.000000,	13.000000,	6.000000,	3.000000,	]
[ 55.000000,	49.000000,	13.000000,	8.000000,	3.000000,	]
[ 54.000000,	45.000000,	16.000000,	8.000000,	3.000000,	]
[ 59.000000,	43.000000,	13.000000,	10.000000,	3.000000,	]
[ 51.000000,	81.000000,	25.000000,	5.000000,	12.000000,	]
[ 52.000000,	52.000000,	19.000000,	13.000000,	6.000000,	]
[ 86.000000,	58.000000,	35.000000,	7.000000,	9.000000,	]
[ 91.000000,	88.000000,	31.000000,	11.000000,	3.000000,	]
[ 44.000000,	36.000000,	13.000000,	4.000000,	3.000000,	]
[ 61.000000,	52.000000,	18.000000,	12.000000,	3.000000,	]
[ 109.000000,	59.000000,	36.000000,	16.000000,	3.000000,	]
[ 48.000000,	63.000000,	18.000000,	4.000000,	6.000000,	]
[ 116.000000,	93.000000,	30.000000,	16.000000,	9.000000,	]
[ 51.000000,	40.000000,	13.000000,	4.000000,	3.000000,	]
[ 134.000000,	77.000000,	41.000000,	17.000000,	8.000000,	]
[ 82.000000,	88.000000,	41.000000,	6.000000,	11.000000,	]
[ 75.000000,	54.000000,	15.000000,	8.000000,	3.000000,	]
[ 58.000000,	59.000000,	17.000000,	9.000000,	7.000000,	]
[ 47.000000,	38.000000,	15.000000,	8.000000,	3.000000,	]
[ 64.000000,	57.000000,	19.000000,	14.000000,	5.000000,	]
[ 44.000000,	36.000000,	13.000000,	4.000000,	3.000000,	]
[ 46.000000,	44.000000,	13.000000,	4.000000,	3.000000,	]
[ 71.000000,	50.000000,	23.000000,	4.000000,	6.000000,	]
[ 50.000000,	48.000000,	13.000000,	4.000000,	3.000000,	]
[ 48.000000,	48.000000,	13.000000,	9.000000,	3.000000,	]
[ 44.000000,	36.000000,	13.000000,	4.000000,	3.000000,	]
[ 60.000000,	56.000000,	19.000000,	12.000000,	9.000000,	]
[ 44.000000,	36.000000,	13.000000,	4.000000,	3.000000,	]
[ 57.000000,	45.000000,	13.000000,	7.000000,	3.000000,	]
[ 89.000000,	82.000000,	25.000000,	13.000000,	11.000000,	]
];








D=[
[ 0.000000,	728.150269,	1627.380249,	1801.045532,	1220.888794,	462.178101,	2169.624756,	2199.841064,	1537.522949,	2178.081787,	1729.165405,	1299.188232,	1091.440308,	2101.436035,	2221.579346,	1398.265747,	2270.442139,	739.531799,	1530.286133,	1475.097290,	1640.665894,	754.293457,	1296.030884,	1954.239624,	1539.248535,	1289.810303,	728.150269,	1283.844482,	2114.035645,	788.480286,	1828.685669,	1451.879272,	1343.793823,	539.918518,	1293.239746,	1424.512451,	2193.022705,	1831.169556,	659.471558,	1964.782104,	1936.723389,	1471.217896,	1123.035645,	1515.304810,	2104.268311,	2116.261719,	791.397766,	1247.952393,	1815.278809,	1293.239746,	1292.883545,	2216.600830,	1471.217896,	600.763245,	1244.913330,	2079.325928,	2180.226318,	1112.155273,	821.047363,	1637.276855,	1622.771362,	660.684082,	1429.646973,	1281.754761,	1424.178833,	1223.664551,	803.146484,	2090.710449,	2271.438477,	1688.373779,	1371.737183,	2222.191162,	1245.282959,	1969.354248,	1719.837280,	1289.810303,	1946.952026,	711.026672,	2143.681885,	1030.494629,	786.587036,	2282.890625,	659.471558,	1907.369385,	1041.169434,	2124.044434,	822.166748,	1213.513916,	455.235504,	1232.680054,	449.418274,	2201.812500,	1510.715820,	1294.832764,	1294.832764,	728.150269,	1300.882568,	1426.343750,	1236.034546,	1286.249634,	]
[ 728.150269,	0.000000,	2049.903076,	2250.923584,	704.782959,	294.518921,	2571.170898,	2610.596436,	2119.501465,	2609.004150,	2299.028809,	1586.057007,	521.355957,	2546.966553,	2650.363037,	1941.698975,	2680.442871,	96.468300,	2110.094727,	1971.913696,	2048.091064,	59.527020,	1583.811401,	2426.395264,	2122.070312,	1568.807129,	0.000000,	1569.787109,	2555.820068,	1477.160645,	2362.916260,	1976.359009,	1857.055786,	239.932465,	1580.078735,	1752.597778,	2607.046875,	2365.174072,	937.396118,	2406.555664,	2412.432129,	1930.000366,	1506.755493,	1940.164185,	2546.187500,	2543.626221,	1431.204834,	1644.862793,	2230.909424,	1580.078735,	1577.909668,	2623.271484,	1930.000366,	596.249268,	1642.186768,	2547.141357,	2609.028320,	560.604980,	1455.645264,	2095.555176,	2027.337524,	935.252441,	1836.476074,	1572.897217,	1823.033203,	712.103210,	1365.987183,	2538.346924,	2681.961914,	2248.308838,	1822.294922,	2608.169922,	1640.974121,	2439.166992,	2150.371094,	1568.807129,	2425.305420,	190.480606,	2585.830078,	1412.339722,	1485.277344,	2684.156982,	937.396118,	2412.691650,	1685.968506,	2561.590088,	1459.081055,	701.224426,	310.676849,	1722.254395,	320.054932,	2598.048828,	2103.780762,	1580.142090,	1580.142090,	0.000000,	1590.202637,	1843.048950,	1720.505493,	1573.827515,	]
[ 1627.380249,	2049.903076,	0.000000,	208.546082,	1925.038940,	1948.671265,	542.395996,	574.364868,	536.863159,	561.800659,	542.228638,	526.150146,	1971.056152,	497.075653,	604.269958,	412.176788,	645.248352,	1984.833862,	527.392578,	253.593918,	44.964214,	2027.895996,	526.725952,	392.238068,	540.467896,	547.496887,	2049.903076,	538.966431,	506.028137,	1107.288940,	462.511322,	339.326691,	361.482880,	2014.444580,	530.488647,	356.723297,	568.472595,	463.326538,	1113.168335,	356.746704,	383.120300,	175.852859,	543.317505,	112.805130,	496.365204,	497.200623,	963.282654,	405.180420,	188.118622,	530.488647,	534.104797,	590.281616,	175.852859,	1459.128906,	407.900543,	503.967682,	562.592834,	1949.718750,	934.265015,	113.060829,	54.457664,	1115.154175,	213.499084,	531.038574,	228.233719,	1918.580444,	848.418030,	488.587769,	646.397278,	486.068329,	257.990417,	595.630432,	409.015900,	402.020691,	100.803444,	547.496887,	397.899292,	1888.952759,	536.084473,	638.639465,	1151.793701,	656.010071,	1113.168335,	429.424744,	854.612610,	512.348450,	938.578979,	1916.999023,	1955.285156,	412.287567,	1955.698853,	574.432434,	579.014038,	532.178833,	532.178833,	2049.903076,	520.359253,	207.908279,	405.029053,	534.213501,	]
[ 1801.045532,	2250.923584,	208.546082,	0.000000,	2132.908203,	2140.175537,	387.160431,	407.507904,	516.264893,	377.364532,	446.583740,	733.001465,	2179.586182,	301.573975,	420.930237,	475.354218,	476.014709,	2187.709473,	510.433533,	341.710632,	227.196747,	2230.357910,	733.716370,	183.841660,	518.917725,	754.266907,	2250.923584,	746.214539,	313.347565,	1220.381104,	316.424500,	400.192596,	475.339661,	2207.625244,	737.516968,	560.884094,	398.758240,	316.255737,	1313.528442,	163.800720,	175.818771,	330.796448,	744.946472,	311.921600,	303.555084,	317.212250,	1094.436890,	607.320740,	112.874268,	737.516968,	741.059998,	426.537964,	330.796448,	1662.693970,	609.884155,	297.221313,	379.876282,	2158.259521,	1063.764038,	163.785095,	247.844955,	1315.675781,	418.570404,	738.550171,	435.057587,	2126.385986,	1006.207275,	291.517212,	476.681488,	405.084564,	434.995239,	452.706696,	611.350769,	193.487793,	111.486702,	754.266907,	190.893585,	2092.615967,	343.219757,	838.622925,	1261.486572,	493.846558,	1313.528442,	241.899551,	944.959290,	323.001190,	1067.020874,	2124.900635,	2145.992920,	568.863342,	2145.984131,	422.364807,	565.101990,	739.088928,	739.088928,	2250.923584,	727.277771,	409.057587,	565.070068,	741.467651,	]
[ 1220.888794,	704.782959,	1925.038940,	2132.908203,	0.000000,	941.791321,	2370.385498,	2416.501953,	2176.712891,	2437.079346,	2322.649170,	1400.433228,	187.983170,	2396.403809,	2472.818115,	1969.363647,	2480.084717,	617.946411,	2165.329834,	1940.102539,	1907.270874,	645.353760,	1399.577393,	2316.710205,	2180.167725,	1379.308838,	704.782959,	1386.873901,	2400.315430,	1771.116211,	2334.161377,	1976.606201,	1860.015625,	919.054260,	1395.746582,	1574.794922,	2416.773438,	2335.929688,	983.160339,	2264.119141,	2308.141357,	1860.801880,	1435.605713,	1832.534546,	2391.634521,	2373.125488,	1657.873901,	1557.245605,	2077.372803,	1395.746582,	1392.280884,	2423.766846,	1860.801880,	694.397034,	1555.473877,	2422.009521,	2434.758301,	145.529907,	1671.261475,	2004.370850,	1886.164673,	979.339600,	1725.207886,	1394.390015,	1705.552124,	9.679525,	1514.240112,	2390.876953,	2482.052246,	2263.375732,	1760.036499,	2387.892822,	1552.874878,	2325.620605,	2022.027954,	1379.308838,	2322.938232,	571.302368,	2428.274902,	1363.102051,	1797.399902,	2474.140381,	983.160339,	2343.597656,	1882.056641,	2400.871094,	1677.188354,	8.862836,	961.383545,	1719.194458,	970.898376,	2389.415771,	2177.822021,	1394.295166,	1394.295166,	704.782959,	1406.075806,	1741.178833,	1712.083740,	1391.612549,	]
[ 462.178101,	294.518921,	1948.671265,	2140.175537,	941.791321,	0.000000,	2485.074219,	2520.786865,	1946.152466,	2510.194336,	2132.978760,	1532.412109,	772.599915,	2441.061035,	2552.860596,	1785.002197,	2591.572998,	343.842346,	1937.734131,	1836.835815,	1953.374512,	338.531097,	1529.728638,	2307.372070,	1948.327271,	1517.894531,	294.518921,	1516.055908,	2451.677246,	1242.514893,	2214.537354,	1828.799194,	1713.031250,	78.350052,	1526.276123,	1686.116577,	2515.755615,	2216.920166,	853.334229,	2301.039307,	2291.665527,	1811.197998,	1410.893311,	1836.278687,	2441.899902,	2445.831543,	1222.264893,	1547.150269,	2135.040039,	1526.276123,	1524.788452,	2535.383789,	1811.197998,	581.991943,	1544.258301,	2431.135498,	2511.167969,	805.927429,	1249.585449,	1979.246826,	1933.549316,	852.335510,	1738.563354,	1517.122681,	1728.265869,	947.576965,	1190.822510,	2431.417725,	2592.872803,	2086.717529,	1705.341797,	2529.258057,	1543.680542,	2321.323730,	2046.982788,	1517.894531,	2303.447266,	370.489777,	2481.781738,	1314.255737,	1244.338989,	2599.190918,	853.334229,	2278.297607,	1477.284180,	2459.401367,	1251.938843,	936.557922,	19.666780,	1586.564087,	29.109634,	2514.538818,	1924.825684,	1526.968628,	1526.968628,	294.518921,	1535.668701,	1741.035278,	1587.010376,	1519.542236,	]
[ 2169.624756,	2571.170898,	542.395996,	387.160431,	2370.385498,	2485.074219,	0.000000,	48.994251,	867.021484,	112.371353,	740.963196,	995.324829,	2441.556152,	170.380157,	122.064346,	860.116150,	110.636543,	2501.017334,	863.891418,	728.508850,	532.577881,	2545.215576,	997.089844,	317.742310,	868.858887,	1014.636475,	2571.170898,	1010.986389,	154.099609,	1607.405273,	574.417114,	786.007446,	861.436157,	2549.064209,	1000.959778,	822.364380,	55.117809,	572.655457,	1640.395752,	236.553009,	337.448273,	703.011658,	1074.319702,	654.879089,	156.889603,	103.643219,	1480.673950,	937.995911,	354.359406,	1000.959778,	1003.693726,	53.485107,	703.011658,	1975.739136,	940.903015,	256.487671,	104.770416,	2415.343994,	1450.166260,	544.830627,	551.952332,	1642.045410,	747.285339,	1006.205200,	756.873413,	2362.904053,	1384.392212,	180.652863,	112.429024,	722.199463,	798.376648,	72.796371,	941.430298,	302.936340,	450.979401,	1014.636475,	339.850739,	2402.851562,	152.233551,	1170.914795,	1648.252686,	114.155273,	1640.395752,	443.830414,	1329.907349,	136.814194,	1453.548950,	2363.004883,	2492.374756,	945.288025,	2493.134033,	35.627499,	916.483948,	1001.487244,	1001.487244,	2571.170898,	990.488464,	746.832397,	939.861877,	1006.576782,	]
[ 2199.841064,	2610.596436,	574.364868,	407.507904,	2416.501953,	2520.786865,	48.994251,	0.000000,	870.349854,	77.249931,	735.497131,	1038.007202,	2486.273438,	154.503647,	75.372643,	875.303711,	70.898819,	2541.240967,	867.883240,	748.991455,	567.412598,	2585.282471,	1039.702637,	315.676025,	871.982849,	1057.530151,	2610.596436,	1053.548584,	136.775894,	1624.745483,	567.812256,	802.383606,	882.829590,	2585.405273,	1043.582153,	864.277405,	13.337559,	565.899048,	1678.237061,	249.010559,	336.105682,	730.239868,	1110.741699,	687.157532,	142.346146,	98.051460,	1501.786865,	973.759155,	386.502411,	1043.582153,	1046.385010,	21.339003,	730.239868,	2015.635376,	976.632507,	236.742188,	69.078529,	2460.364258,	1471.037720,	568.621948,	587.294556,	1679.955078,	782.243530,	1048.535278,	792.738403,	2409.065674,	1410.843018,	166.393204,	72.114380,	720.725708,	828.109802,	92.394798,	977.286743,	299.878571,	480.006958,	1057.530151,	336.294678,	2443.367920,	125.824059,	1207.203735,	1664.822144,	86.772057,	1678.237061,	436.509125,	1344.288330,	118.902367,	1474.213623,	2409.085205,	2527.823975,	971.955994,	2528.442871,	54.225658,	919.558899,	1044.187378,	1044.187378,	2610.596436,	1033.088013,	780.596069,	967.067688,	1049.097900,	]
[ 1537.522949,	2119.501465,	536.863159,	516.264893,	2176.712891,	1946.152466,	867.021484,	870.349854,	0.000000,	812.411560,	193.464188,	898.181152,	2176.718506,	723.047852,	851.160095,	212.378799,	926.959106,	2075.844971,	12.014615,	315.557465,	581.798279,	2112.955811,	896.855164,	555.574402,	4.002488,	916.970520,	2119.501465,	903.382690,	740.481628,	821.962524,	329.937622,	236.331100,	329.523743,	2021.203125,	899.462646,	784.787109,	858.389160,	332.437561,	1227.401855,	632.713318,	534.934082,	431.793884,	759.233887,	524.440125,	732.696960,	772.374512,	751.904724,	668.304321,	614.878113,	899.462646,	903.435913,	891.598206,	431.793884,	1581.008667,	668.821167,	660.855347,	818.356018,	2165.582275,	720.872925,	433.888428,	586.894287,	1230.683105,	584.913147,	892.703308,	607.023071,	2172.177490,	756.695618,	710.438904,	926.723999,	166.249100,	483.846283,	938.980591,	672.277100,	571.812195,	536.579529,	916.970520,	536.554138,	1992.380615,	762.849243,	817.851135,	852.880798,	954.087280,	1227.401855,	449.293304,	528.370178,	756.928833,	720.936096,	2168.011230,	1947.240601,	463.235016,	1944.876099,	902.154236,	49.567448,	902.427063,	902.427063,	2119.501465,	892.533142,	559.154602,	472.371307,	899.358154,	]
[ 2178.081787,	2609.004150,	561.800659,	377.364532,	2437.079346,	2510.194336,	112.371353,	77.249931,	812.411560,	0.000000,	669.484802,	1048.163330,	2501.119629,	89.377457,	43.575146,	831.990112,	115.117897,	2541.844971,	810.675903,	714.271118,	560.934753,	2585.426270,	1049.637573,	257.460815,	813.818604,	1068.276978,	2609.004150,	1063.277710,	72.155472,	1582.468262,	501.581024,	761.148315,	848.705078,	2576.208252,	1053.532349,	872.877808,	64.366226,	499.546692,	1673.588623,	213.602676,	278.153198,	706.989441,	1104.051392,	673.945923,	80.598160,	65.552788,	1465.307129,	966.115906,	378.094635,	1053.532349,	1056.538696,	95.623741,	706.989441,	2015.817139,	968.899658,	163.763000,	8.171591,	2476.379639,	1434.242065,	541.091370,	581.666748,	1675.472290,	773.908508,	1057.572510,	786.350159,	2429.849854,	1383.330566,	101.988075,	114.684296,	658.454895,	808.786133,	169.527908,	969.838440,	241.015045,	463.263428,	1068.276978,	275.858276,	2444.853516,	51.879200,	1199.890015,	1621.401978,	145.129593,	1673.588623,	370.683289,	1298.404297,	57.033001,	1437.094482,	2429.507568,	2516.630615,	946.215210,	2516.933594,	130.270020,	861.181885,	1054.376221,	1054.376221,	2609.004150,	1043.006104,	769.695374,	942.307739,	1058.716431,	]
[ 1729.165405,	2299.028809,	542.228638,	446.583740,	2322.649170,	2132.978760,	740.963196,	735.497131,	193.464188,	669.484802,	0.000000,	990.857666,	2333.271973,	582.049011,	704.280151,	360.980255,	784.349426,	2252.261230,	199.545227,	394.031830,	585.026794,	2290.376465,	990.115295,	423.394958,	192.321732,	1011.173706,	2299.028809,	998.766602,	599.907837,	1013.555786,	167.917725,	346.131622,	463.286041,	2207.420898,	993.202087,	852.821411,	722.689270,	169.938553,	1393.081909,	519.894592,	404.121918,	497.506836,	889.416016,	569.666504,	593.481750,	639.968079,	945.132812,	779.853088,	558.004395,	993.202087,	997.202759,	756.767334,	497.506836,	1749.448975,	781.012695,	508.859955,	676.327942,	2319.854248,	914.027283,	429.192352,	596.585022,	1396.185181,	655.209595,	988.584473,	678.005188,	2317.610352,	942.185791,	569.753784,	783.753418,	61.609402,	579.299438,	813.735962,	784.128174,	438.027130,	505.778015,	1011.173706,	401.112488,	2166.561279,	617.960632,	959.694946,	1043.207886,	814.407471,	1393.081909,	299.121063,	720.395447,	617.436401,	914.183044,	2314.063477,	2134.562988,	604.742493,	2132.431885,	774.469666,	229.495712,	995.852783,	995.852783,	2299.028809,	984.952087,	631.620178,	611.128235,	994.354797,	]
[ 1299.188232,	1586.057007,	526.150146,	733.001465,	1400.433228,	1532.412109,	995.324829,	1038.007202,	898.181152,	1048.163330,	990.857666,	0.000000,	1454.243530,	1000.193420,	1086.636963,	691.967285,	1105.862427,	1511.679810,	886.221741,	598.438477,	506.857635,	1556.571533,	3.376607,	916.637512,	902.159790,	21.395876,	1586.057007,	16.394600,	1005.437744,	1048.651611,	961.744812,	663.924255,	575.220459,	1589.183105,	6.140895,	175.696335,	1036.196899,	963.132690,	680.271729,	865.269653,	908.617859,	494.561676,	240.378586,	442.418549,	996.416199,	982.983398,	871.528931,	240.738037,	679.051208,	6.140895,	8.382402,	1048.477051,	494.561676,	990.147034,	241.307922,	1021.947021,	1046.778564,	1430.760986,	854.327698,	613.969238,	485.782288,	680.986938,	340.709137,	18.114363,	318.666412,	1393.799561,	683.017456,	993.901001,	1107.580566,	929.262085,	416.126709,	1026.291626,	237.657501,	925.303162,	621.841980,	21.395876,	923.547607,	1412.322388,	1034.243530,	297.201813,	1096.961426,	1105.986450,	680.271729,	951.691223,	911.862244,	1007.560791,	861.281128,	1392.491821,	1542.462646,	470.181702,	1544.754883,	1019.560730,	920.029968,	6.216541,	6.216541,	1586.057007,	5.970394,	361.930054,	457.274719,	13.044288,	]
[ 1091.440308,	521.355957,	1971.056152,	2179.586182,	187.983170,	772.599915,	2441.556152,	2486.273438,	2176.718506,	2501.119629,	2333.271973,	1454.243530,	0.000000,	2454.402832,	2538.644775,	1974.664673,	2552.026611,	438.490509,	2165.732422,	1961.062256,	1957.396240,	462.336395,	1452.973999,	2363.041504,	2179.975830,	1433.737427,	521.355957,	1439.605469,	2459.667725,	1702.547119,	2358.954834,	1989.404541,	1870.381348,	743.271240,	1449.084229,	1629.939697,	2485.530518,	2360.872314,	955.854004,	2318.726807,	2352.943359,	1890.767456,	1458.051514,	1872.559326,	2450.657227,	2436.244385,	1604.895020,	1586.982300,	2133.022217,	1449.084229,	1445.907593,	2495.036133,	1890.767456,	626.724609,	1584.923706,	2473.440918,	2499.404053,	43.907833,	1621.444824,	2042.273315,	1936.103149,	952.282532,	1764.554565,	1446.043945,	1746.280029,	196.404312,	1478.865356,	2448.001953,	2553.890381,	2275.670654,	1786.533813,	2464.393311,	1582.655151,	2373.072266,	2070.216553,	1433.737427,	2367.367432,	405.301941,	2488.413086,	1377.563843,	1724.506836,	2548.597168,	955.854004,	2379.304932,	1840.997437,	2461.619629,	1626.829468,	186.168121,	791.939941,	1728.850586,	801.612061,	2462.833008,	2173.324219,	1448.029663,	1448.029663,	521.355957,	1459.588501,	1778.208252,	1723.070801,	1444.254761,	]
[ 2101.436035,	2546.966553,	497.075653,	301.573975,	2396.403809,	2441.061035,	170.380157,	154.503647,	723.047852,	89.377457,	582.049011,	1000.193420,	2454.402832,	0.000000,	129.730286,	745.549255,	204.115662,	2481.737061,	721.298523,	632.209229,	501.684784,	2524.884766,	1001.437866,	168.198914,	724.463684,	1020.791016,	2546.966553,	1014.798157,	17.861179,	1495.820557,	414.172241,	675.691833,	766.531677,	2508.085938,	1005.326538,	824.512329,	141.391769,	412.203766,	1610.069946,	140.510040,	188.881592,	632.318787,	1040.280029,	607.333862,	13.713980,	68.461349,	1381.080322,	902.144775,	321.711731,	1005.326538,	1008.520264,	175.520370,	632.318787,	1955.897339,	904.839294,	86.404022,	95.380737,	2430.879150,	1349.894409,	464.730499,	522.868835,	1612.088135,	710.553284,	1008.435425,	724.588684,	2389.404785,	1303.898193,	12.610646,	203.797745,	569.623108,	736.371094,	240.026398,	906.013306,	151.713943,	396.633606,	1020.791016,	186.494812,	2385.599365,	42.894875,	1135.264160,	1534.349731,	232.732483,	1610.069946,	282.934570,	1210.711304,	35.607788,	1352.598755,	2388.675049,	2447.043701,	868.762085,	2447.112061,	199.341492,	771.841309,	1006.404968,	1006.404968,	2546.966553,	994.826233,	704.194397,	865.508362,	1010.151184,	]
[ 2221.579346,	2650.363037,	604.269958,	420.930237,	2472.818115,	2552.860596,	122.064346,	75.372643,	851.160095,	43.575146,	704.280151,	1086.636963,	2538.644775,	129.730286,	0.000000,	874.498840,	82.662682,	2582.794434,	849.708191,	757.685852,	602.520996,	2626.466797,	1088.169678,	297.632721,	852.475891,	1106.605591,	2650.363037,	1101.870239,	113.439598,	1624.930664,	536.632385,	803.975281,	892.122620,	2618.710693,	1092.062500,	911.640564,	66.952774,	534.522888,	1715.362671,	257.176239,	318.273285,	750.446106,	1146.017456,	716.583130,	122.482773,	107.095459,	1508.472046,	1008.173889,	419.651825,	1092.062500,	1095.017334,	85.824356,	750.446106,	2056.794434,	1010.971863,	195.667007,	41.698288,	2513.558594,	1477.382202,	584.646301,	623.137390,	1717.220093,	815.972168,	1096.339355,	828.126709,	2465.519287,	1426.904053,	142.202713,	81.565300,	695.459473,	852.048401,	162.521515,	1011.869385,	281.088959,	506.102386,	1106.605591,	315.061829,	2485.623047,	88.385681,	1241.975586,	1663.677490,	116.126381,	1715.362671,	406.530029,	1340.304199,	99.764519,	1480.204590,	2465.296875,	2559.365234,	989.773621,	2559.702637,	128.150803,	899.706543,	1092.844604,	1092.844604,	2650.363037,	1081.538940,	812.107666,	985.845947,	1097.335083,	]
[ 1398.265747,	1941.698975,	412.176788,	475.354218,	1969.363647,	1785.002197,	860.116150,	875.303711,	212.378799,	831.990112,	360.980255,	691.967285,	1974.664673,	745.549255,	874.498840,	0.000000,	940.370239,	1893.093628,	200.450653,	158.624557,	453.834839,	1931.701782,	690.444153,	582.034485,	216.180069,	710.082397,	1941.698975,	696.194580,	761.168762,	750.481873,	431.188995,	76.514801,	117.945503,	1858.154419,	692.863159,	592.031433,	865.152100,	433.638153,	1032.114990,	626.318115,	562.318359,	262.020294,	546.970093,	362.438110,	752.021851,	779.639832,	640.538940,	458.112793,	545.996094,	692.863159,	696.796692,	895.454956,	262.020294,	1388.498047,	458.466766,	703.799255,	836.299866,	1962.173950,	609.000488,	338.166443,	452.023010,	1035.225464,	397.677582,	685.426270,	418.218597,	1964.632324,	597.855347,	733.416870,	940.679382,	307.153839,	284.884125,	927.425293,	461.980713,	598.380493,	449.835022,	710.082397,	569.538391,	1806.541748,	788.230591,	607.740295,	789.764099,	962.035400,	1032.114990,	513.426270,	469.860291,	774.992981,	611.078247,	1960.703491,	1787.607422,	251.736343,	1785.989380,	895.639038,	228.392975,	695.914490,	695.914490,	1941.698975,	686.458008,	371.765015,	260.398254,	692.328552,	]
